Genus_species	Family	Genus	GASPAR code	Max	DepthMIN	DepthMAX	HomeRange	Activity	Schooling	Level	Diet 7cl2	HerbivoreType	Diet Spe Coral	Habitat Spe Coral	Size	SizeClass	Coeffa	Coeffb	Level coeff	CommLoc	CommReg	TargetLoc	Commercial	Ciguatera	Resilience
Stethojulis strigiventer	Labridae	Stethojulis	5641	11	2	15	2	D	3	1	IM	0	0	0	15	3	0.019083913	2.876257644	sp	0	0	0	0	0	high
Sufflamen bursa	Balistidae	Sufflamen	6029	25	3	90	1	D	1	1	IM	0	0	0	25	4	0.032440877	2.929115407	genus	0	0	0	0	0	high
Sufflamen fraenatum	Balistidae	Sufflamen	1312	38	8	186	1	D	1	1	IM	0	1	0	38	4	0.028651762	2.965827733	sp	0	0	0	0	0	medium
Synanceia verrucosa	Synanceiidae	Synanceia	5825	40	0	30	1	N	1	1	FC	0	0	0	40	4	0.004347289	3.694221868	famille	0	0	0	0	0	NA
Synodus binotatus	Synodontidae	Synodus	7292	18	1	88	2	B	1	1	FC	0	0	0	18	3	0.008477549	3.0777	genus	0	0	0	0	0	high
Synodus variegatus	Synodontidae	Synodus	5398	30	3	121	2	B	2	1	FC	0	0	0	40	4	0.003142821	3.483798595	sp	0	0	0	0	0	high
Syphraena barracuda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Syphraena helleri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Syphraena qenie	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Taenianotus triacanthus	Scorpaenidae	Taenianotus	5824	10	5	134	1	N	1	1	IM	0	0	0	10	2	0.02459	2.90753	famille	0	0	0	NA	0	high
Thalassoma amblycephalum	Labridae	Thalassoma	5642	16	1	15	2	D	3	2	PK	0	0	0	16	3	0.012305946	3.097020357	genus	0	0	0	0	0	medium
Thalassoma hardwicke	Labridae	Thalassoma	5643	18	0	15	2	D	3	1	IM	0	0	0	20	3	0.017830241	2.977652716	sp	0	0	0	0	0	high
Thalassoma lutescens	Labridae	Thalassoma	5646	30	1	30	2	D	3	1	IM	0	0	1	30	4	0.012995696	3.041862106	sp	0	0	0	0	0	medium
Thalassoma purpureum	Labridae	Thalassoma	5647	43	0	10	2	D	3	1	IM	0	0	0	46	4	0.012305946	3.097020357	genus	0	0	0	0	0	medium
Thalassoma quinquevittatum	Labridae	Thalassoma	5648	17	0	40	2	D	3	1	IM	0	0	0	17	3	0.012305946	3.097020357	genus	0	0	0	0	0	high
Thalassoma sp	Labridae	Thalassoma	G-2886	NA	NA	NA	2	D	3	1	IM	NA	NA	NA	NA	NA	0.012305946	3.097020357	genus	0	0	0	NA	0	NA
Thalassoma trilobatum	Labridae	Thalassoma	5649	30	0	10	2	D	3	1	IM	0	0	1	30	4	0.012305946	3.097020357	genus	0	0	0	0	0	medium
Trachinotus baillonii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Triaenodon obesus	Carcharhinidae	Triaenodon	907	210	1	330	3	B	1	2	FC	0	0	0	213	6	0.001797357	3.343933603	sp	0	0	0	0	0	very low
Tylosurus crocodilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Upeneus arge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Uraspis secunda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Valenciennea strigata	Gobiidae	Valenciennea	6575	18	1	25	1	D	2	1	IM	0	0	0	18	3	0.010397829	2.858948079	genus	0	0	0	0	0	high
Vanderhorstia ornatissima	Gobiidae	Vanderhorstia	12784	8.5	0	3	1	D	1	1	IM	0	0	0	8.5	2	0.026387532	2.622565603	famille	0	0	0	0	0	high
Variola louti	Serranidae	Variola	5354	90	3	250	2	D	1	1	FC	0	0	0	83	5	0.012187843	3.079130577	sp	0	1	2	2	0	medium
Zanclus cornutus	Zanclidae	Zanclus	5950	23	3	182	2	D	3	1	OM	0	0	0	23	3	0.014703742	3.369908069	sp	0	0	1	0	0	NA
Zebrasoma rostratum	Acanthuridae	Zebrasoma	25802	21	8	35	2	D	3	1	HD	Grazer	0	1	21	4	0.037833693	2.856767396	genus	0	0	0	0	0	high
Zebrasoma scopas	Acanthuridae	Zebrasoma	5951	20	1	60	2	D	3	1	HD	Grazer	0	1	40	3	0.029053025	2.992739614	sp	0	0	0	0	0	medium
Zebrasoma veliferum	Acanthuridae	Zebrasoma	1266	40	1	30	2	D	2	1	HD	Grazer	0	1	40	4	0.03425216	2.865805779	sp	0	0	0	0	0	medium
Amblycirrhitus bimacula	Amblycirrhitus	Bimacula	NA	8.5	0	20	1	D	1	1	IM	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	0	high
Pervagor aspricaudus	Pervagor	Aspricaudus	NA	11.5	1	25	1	D	1	1	OM	NA	NA	NA	NA	NA	0.012224814	3.032756806	famille	0	0	0	NA	0	high
Dendrochirus biocellatus	Dendrochirus	Biocellatus	NA	12	1	40	1	N	1	2	IM	NA	NA	NA	NA	NA	0.009645206	3.336848147	genus	0	0	0	NA	0	medium
Pseudocoris aurantiofasciata	Pseudocoris	Aurantiofasciata	NA	20	30	45	1	D	3	2	PK	NA	NA	NA	NA	NA	0.010669345	3.177649683	famille	0	0	1	NA	0	medium
Lutjanus monostigma	Lutjanus	Monostigma	NA	60	1	60	2	N	3	2	FC	NA	NA	NA	NA	NA	0.022184666	2.91252239	sp	1	1	0	NA	1	medium
Cheilodipterus macrodon	Cheilodipterus	Macrodon	NA	25	0	40	1	N	1	2	FC	NA	NA	NA	NA	NA	0.005399289	3.432804567	sp	0	0	0	NA	0	high
Anampses femininus	Anampses	femininus	NA	24	10	30	2	D	1	1	IM	NA	NA	NA	NA	NA	0.022609401	2.792711024	genus	0	0	0	NA	0	medium
